ids,gender,age,household,children,preltrad,ethnicity,paredu,income,parsedu,raised,religup
220,0. Male,13. 13,1. Married,2. 2,3. Black Protestant,Black,Less than High School,"$30,000-$40,000",Some College but no degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:baptist
1662,1. Female,15. 15,1. Married,1. 1,8. Other religion,Asian,Bachelors,"More than $100,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Hindu
2086,0. Male,17. 17,1. Married,0. 0,1. Conservative Protestant,White,Less than High School,"$30,000-$40,000",Vo-Tech/Associates Diploma/Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:prebertyrain
2103,0. Male,13. 13,4. Divorced,0. 0,4. Catholic,Black,Less than High School,"$10,000-$20,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Catholic
2187,0. Male,17. 17,4. Divorced,1. 1,1. Conservative Protestant,Asian,Graduate Degree,"$50,000-$60,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christain
2215,1. Female,13. 13,2. Living with unmarried partner,3. 3,1. Conservative Protestant,White,Graduate Degree,"$60,000-$70,000",Vo-Tech/Associates Diploma/Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:CHRISTIAN
2441,1. Female,13. 13,1. Married,1. 1,5. Jewish,White,Graduate Degree,"More than $100,000",Beyond Bachelors but no degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Jewish
2449,0. Male,16. 16,1. Married,0. 0,4. Catholic,Other,Graduate Degree,"More than $100,000",Graduate Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
2530,0. Male,16. 16,1. Married,1. 1,2. Mainline Protestant,White,Graduate Degree,"More than $100,000",Graduate Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
2541,1. Female,13. 13,5. Separated,2. 2,7. Unaffiliated,White,Some College but no degree,"$40,000-$50,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Christian
2571,0. Male,16. 16,1. Married,0. 0,2. Mainline Protestant,White,Graduate Degree,"$70,000-$80,000",Bachelors,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christianity
2669,0. Male,17. 17,1. Married,0. 0,1. Conservative Protestant,White,Some College but no degree,"$50,000-$60,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
2772,1. Female,13. 13,1. Married,2. 2,2. Mainline Protestant,White,Some College but no degree,"$70,000-$80,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:CHRISTIAN
2855,1. Female,16. 16,1. Married,2. 2,4. Catholic,White,Some College but no degree,"$40,000-$50,000",Some College but no degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
2866,1. Female,14. 14,2. Living with unmarried partner,1. 1,1. Conservative Protestant,Hispanic,Less than High School,"$20,000-$30,000",Less than High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:pentecostal
2878,1. Female,15. 15,1. Married,0. 0,4. Catholic,Other,Some College but no degree,"$40,000-$50,000",Some College but no degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:CATHOLIC
2968,1. Female,16. 16,4. Divorced,1. 1,3. Black Protestant,Black,Bachelors,"$20,000-$30,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:CHRISTIAN
3035,0. Male,14. 14,1. Married,4. 4,8. Other religion,Black,High School,"$30,000-$40,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:none
3138,0. Male,16. 16,4. Divorced,0. 0,7. Unaffiliated,White,Graduate Degree,"$70,000-$80,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Christian
3204,0. Male,15. 15,1. Married,0. 0,7. Unaffiliated,Other,High School,"$40,000-$50,000",High School,RAISED RELIGIOUS, 
3225,1. Female,17. 17,1. Married,0. 0,8. Other religion,White,Bachelors,"$90,000-$100,000",Bachelors,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
3257,0. Male,16. 16,4. Divorced,1. 1,2. Mainline Protestant,White,Bachelors,"$50,000-$60,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:CHRISTIAN
3289,1. Female,14. 14,6. Never Married,0. 0,2. Mainline Protestant,White,Bachelors,"$10,000-$20,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:presbyterian
3317,1. Female,15. 15,4. Divorced,1. 1,1. Conservative Protestant,White,Less than High School,"Less than $10,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Baptist
3364,0. Male,16. 16,6. Never Married,2. 2,4. Catholic,Hispanic,Less than High School,"$30,000-$40,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:many
3389,0. Male,17. 17,1. Married,0. 0,4. Catholic,White,High School,"$40,000-$50,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christion
3438,1. Female,17. 17,2. Living with unmarried partner,0. 0,1. Conservative Protestant,Black,Less than High School,"$20,000-$30,000",Vo-Tech/Associates Diploma/Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Christian
3442,1. Female,17. 17,1. Married,1. 1,1. Conservative Protestant,White,Less than High School,"$40,000-$50,000",Vo-Tech/Associates Diploma/Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:southern baptist
3578,0. Male,17. 17,4. Divorced,2. 2,7. Unaffiliated,White,High School,"More than $100,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
3599,0. Male,14. 14,6. Never Married,0. 0,3. Black Protestant,Black,Some College but no degree,"$10,000-$20,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:baptist
3633,0. Male,16. 16,1. Married,3. 3,7. Unaffiliated,White,Some College but no degree,"Less than $10,000",Less than High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
3673,0. Male,17. 17,1. Married,0. 0,4. Catholic,White,Graduate Degree,"More than $100,000",Graduate Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
3698,0. Male,17. 17,4. Divorced,0. 0,7. Unaffiliated,White,High School,"$30,000-$40,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:CATHOLIC
3699,1. Female,16. 16,1. Married,1. 1,2. Mainline Protestant,White,Some College but no degree,"$40,000-$50,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:I think it's Episcopalian
3786,0. Male,13. 13,4. Divorced,0. 0,1. Conservative Protestant,,Less than High School,"Less than $10,000",,RAISED RELIGIOUS, 
3788,0. Male,16. 16,1. Married,1. 1,7. Unaffiliated,White,Vo-Tech/Associates Diploma/Degree,"$50,000-$60,000",Vo-Tech/Associates Diploma/Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:methodist
3795,1. Female,17. 17,1. Married,0. 0,6. Mormon/LDS,White,Less than High School,"$10,000-$20,000",Vo-Tech/Associates Diploma/Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Mormonism
3802,0. Male,17. 17,1. Married,2. 2,2. Mainline Protestant,White,Vo-Tech/Associates Diploma/Degree,"$70,000-$80,000",High School,RAISED RELIGIOUS, 
3833,1. Female,13. 13,1. Married,0. 0,2. Mainline Protestant,White,Some College but no degree,"$50,000-$60,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Methodist
3948,0. Male,17. 17,4. Divorced,0. 0,1. Conservative Protestant,White,Less than High School,"$50,000-$60,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic and baptist
3953,0. Male,17. 17,1. Married,1. 1,4. Catholic,White,High School,"$20,000-$30,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
3976,0. Male,15. 15,1. Married,0. 0,7. Unaffiliated,White,Bachelors,"$80,000-$90,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:unitarian
4021,1. Female,17. 17,1. Married,2. 2,3. Black Protestant,Black,Less than High School,"$40,000-$50,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:holiness
4102,1. Female,15. 15,6. Never Married,1. 1,3. Black Protestant,Black,Vo-Tech/Associates Diploma/Degree,"Less than $10,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Christian
4146,0. Male,13. 13,1. Married,1. 1,5. Jewish,White,Beyond Bachelors but no degree,"More than $100,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:JUDAIS
4158,1. Female,15. 15,3. Widowed,0. 0,3. Black Protestant,Black,Less than High School,"Less than $10,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
4159,0. Male,16. 16,1. Married,0. 0,1. Conservative Protestant,White,Graduate Degree,"More than $100,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Catholic
4277,1. Female,16. 16,1. Married,2. 2,4. Catholic,Other,Some College but no degree,"$70,000-$80,000",Some College but no degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
4305,1. Female,17. 17,3. Widowed,2. 2,3. Black Protestant,Black,Vo-Tech/Associates Diploma/Degree,"$30,000-$40,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:baptist
4312,0. Male,13. 13,4. Divorced,0. 0,7. Unaffiliated,White,Some College but no degree,"$60,000-$70,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Catholic
4317,1. Female,17. 17,4. Divorced,0. 0,2. Mainline Protestant,White,Bachelors,"$70,000-$80,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
4349,0. Male,16. 16,1. Married,1. 1,4. Catholic,White,Vo-Tech/Associates Diploma/Degree,"$60,000-$70,000",Vo-Tech/Associates Diploma/Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
4357,1. Female,17. 17,1. Married,1. 1,3. Black Protestant,Black,Less than High School,"Less than $10,000",Less than High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Baptist
4397,0. Male,17. 17,4. Divorced,0. 0,7. Unaffiliated,White,Vo-Tech/Associates Diploma/Degree,"$30,000-$40,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
4417,0. Male,15. 15,1. Married,0. 0,2. Mainline Protestant,White,Bachelors,"$50,000-$60,000",Vo-Tech/Associates Diploma/Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
4471,1. Female,17. 17,1. Married,0. 0,2. Mainline Protestant,Hispanic,High School,"Less than $10,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
4489,0. Male,16. 16,2. Living with unmarried partner,0. 0,1. Conservative Protestant,Hispanic,Bachelors,"More than $100,000",Graduate Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:CHRISTIAN
4495,0. Male,16. 16,1. Married,0. 0,2. Mainline Protestant,White,High School,"$50,000-$60,000",Bachelors,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:cathloic
4544,1. Female,14. 14,1. Married,1. 1,1. Conservative Protestant,White,Vo-Tech/Associates Diploma/Degree,"$30,000-$40,000",Bachelors,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:united pentacostal
4573,1. Female,16. 16,4. Divorced,0. 0,4. Catholic,White,Vo-Tech/Associates Diploma/Degree,"$40,000-$50,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:CHRISTIAN
4576,0. Male,15. 15,1. Married,1. 1,5. Jewish,White,Vo-Tech/Associates Diploma/Degree,"$90,000-$100,000",Bachelors,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Jewish
4699,0. Male,15. 15,4. Divorced,1. 1,8. Other religion,Asian,Vo-Tech/Associates Diploma/Degree,"$20,000-$30,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian and Mormon
4726,1. Female,15. 15,4. Divorced,1. 1,7. Unaffiliated,White,High School,"$50,000-$60,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Christian
4759,0. Male,14. 14,2. Living with unmarried partner,0. 0,7. Unaffiliated,White,Bachelors,"$50,000-$60,000",Bachelors,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Christianity
4786,0. Male,14. 14,1. Married,1. 1,9. Indeterminate,White,Bachelors,"$60,000-$70,000",High School,RAISED RELIGIOUS, 
4808,0. Male,16. 16,4. Divorced,0. 0,1. Conservative Protestant,White,Bachelors,"$20,000-$30,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Christian
4857,1. Female,17. 17,6. Never Married,2. 2,3. Black Protestant,Black,High School,"$20,000-$30,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:babtist
4932,1. Female,15. 15,1. Married,2. 2,9. Indeterminate,White,Some College but no degree,"$10,000-$20,000",Some College but no degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
5056,1. Female,13. 13,4. Divorced,0. 0,5. Jewish,White,Vo-Tech/Associates Diploma/Degree,"$30,000-$40,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Jewish
5111,0. Male,13. 13,1. Married,1. 1,3. Black Protestant,Black,Some College but no degree,"$30,000-$40,000",Some College but no degree,RAISED RELIGIOUS, 
5117,1. Female,14. 14,4. Divorced,1. 1,1. Conservative Protestant,White,Beyond Bachelors but no degree,"$30,000-$40,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:BAPTIST
5194,0. Male,15. 15,1. Married,0. 0,4. Catholic,White,Some College but no degree,"$70,000-$80,000",Some College but no degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
5195,0. Male,14. 14,6. Never Married,1. 1,3. Black Protestant,Black,Some College but no degree,"$40,000-$50,000",,RAISED RELIGIOUS, 
5237,1. Female,17. 17,1. Married,0. 0,2. Mainline Protestant,White,Bachelors,"$20,000-$30,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christadelphian
5252,1. Female,17. 17,5. Separated,1. 1,4. Catholic,Hispanic,High School,"$60,000-$70,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
5370,0. Male,16. 16,2. Living with unmarried partner,0. 0,4. Catholic,White,Some College but no degree,"$40,000-$50,000",Some College but no degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
5398,0. Male,15. 15,4. Divorced,0. 0,8. Other religion,Other,Some College but no degree,"More than $100,000",,RAISED RELIGIOUS,"<1:[RECORD VERBATIM]>:Catholic, christian and Buddhist"
5404,0. Male,16. 16,4. Divorced,0. 0,4. Catholic,Hispanic,High School,"$30,000-$40,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
5416,1. Female,17. 17,1. Married,1. 1,9. Indeterminate,White,Some College but no degree,"$20,000-$30,000",High School,RAISED RELIGIOUS, 
5424,1. Female,16. 16,3. Widowed,3. 3,1. Conservative Protestant,Other,Less than High School,"Less than $10,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Pentecostal
5730,0. Male,16. 16,1. Married,1. 1,2. Mainline Protestant,White,Vo-Tech/Associates Diploma/Degree,"$60,000-$70,000",Vo-Tech/Associates Diploma/Degree,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
5871,1. Female,14. 14,5. Separated,1. 1,8. Other religion,Black,Graduate Degree,"$50,000-$60,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christian
5891,1. Female,13. 13,1. Married,1. 1,1. Conservative Protestant,White,High School,"$20,000-$30,000",High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:Pentecostal
5894,0. Male,17. 17,6. Never Married,0. 0,4. Catholic,Black,High School,"$40,000-$50,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christianity
5916,0. Male,13. 13,1. Married,2. 2,2. Mainline Protestant,White,Some College but no degree,"$20,000-$30,000",Less than High School,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:christana
5949,0. Male,13. 13,6. Never Married,2. 2,4. Catholic,Black,High School,"$40,000-$50,000",,RAISED RELIGIOUS,<1:[RECORD VERBATIM]>:catholic
