,ids,pids,prompt,response,ethnicity
0,220,0,"When interviewed about their experiences with racism, a person who is 13 years old, male, black, reponded with: ""","I have experienced racism in my school and in my neighborhood. My school is mostly white, and I have been the target of bullying and name-calling. In my neighborhood, I have been treated differently than my white friends. People have made assumptions about me and have treated me as if I am not worthy of respect.""",Black
1,220,1,"When interviewed about their experiences with racism, a person who is 13 years old, male, black, reponded with: ""","I've definitely experienced racism. I think it's something that all black people have to deal with in some way. It can be subtle, like people avoiding you in public places, or being followed in a store. It can also be more overt, like people using racial slurs or making assumptions about your intelligence or character. It's really disheartening and can make you feel like you don't belong in certain places or that you don't have the same opportunities as everyone else. I think it's important to use those experiences to educate people about racism and the importance of racial equality. We all need to come together to create a more inclusive",Black
2,220,2,"When interviewed about their experiences with racism, a person who is 13 years old, male, black, reponded with: ""","I can remember being called racial slurs when I was younger. I can also remember being followed in stores and feeling like I was being treated differently just because of the color of my skin. It made me feel like I didn't belong and that I was not worthy of the same respect as others. I think racism is still a problem in our society and it needs to be addressed.""

This response indicates an awareness of racism in society and a desire to see it addressed. It is important to recognize that racism can start at a young age and to acknowledge the negative impact it can have on a person's self-esteem and sense of belonging",Black
3,220,3,"When interviewed about their experiences with racism, a person who is 13 years old, male, black, reponded with: ""","I have experienced racism in different ways. Growing up in a predominately white town, I have heard people make comments about my skin color or my hair. In school, I have been excluded from activities or groups of friends because of my race. I've also seen racism in the way people interact with each other, like when someone is treated differently because of their skin color. It's important to me that people know that racism still exists and that we need to work together to end it.""",Black
4,220,4,"When interviewed about their experiences with racism, a person who is 13 years old, male, black, reponded with: ""","I've experienced racism all my life, even from a very young age. It's been through subtle forms like people not wanting to be around me or making comments about how I look or how I speak. It's also been through more obvious forms like when people have used racial slurs or made racial jokes directly to me. It's been hard to deal with, but I'm learning how to be proud of who I am and stand up for myself.""",Black
5,1662,0,"When interviewed about their experiences with racism, a person who is 15 years old, female, asian, reponded with: ""","I have had a lot of experiences with racism, both overt and covert. From people making fun of my accent to being told that I'm 'not like other Asians.' I have had people assume that I'm the 'model minority,' and that I must be a genius because of my race. As a young person, it can be really hard to deal with these kinds of experiences. People don't always understand how hurtful these comments can be.""",Asian
6,1662,1,"When interviewed about their experiences with racism, a person who is 15 years old, female, asian, reponded with: ""","Growing up, I was often made to feel like I was different from everyone else. I would hear people making comments about my race, or I would feel like I was being judged for my ethnicity. It was very disheartening and I had to learn to be confident in who I am and what I believe in. I know that I'm not the only one who has gone through this experience, and I'm glad that more people are speaking out and advocating for change.""",Asian
7,1662,2,"When interviewed about their experiences with racism, a person who is 15 years old, female, asian, reponded with: ""","When I was younger, I noticed that people would make comments about my race or even act differently around me based on my ethnicity. I was really confused and didn't understand why they were treating me differently. It made me feel like I didn't belong and that I wasn't accepted. As I got older, I started to realize that it was because of the racism that exists in our society. It's really disheartening to know that I have to deal with this just because of my race.""",Asian
8,1662,3,"When interviewed about their experiences with racism, a person who is 15 years old, female, asian, reponded with: ""","Racism is a very real and very difficult experience for me. Growing up, I had to learn to navigate my way through a world that wasn't always kind or accepting of me and my cultural background. I have faced countless microagressions and have been on the receiving end of explicit racism. But I have also had the opportunity to learn and grow from these experiences, and to draw strength from my culture and identity. I'm proud of who I am, and I'm determined to work towards a world that is more inclusive and equitable for everyone.""",Asian
9,1662,4,"When interviewed about their experiences with racism, a person who is 15 years old, female, asian, reponded with: ""","I've had to deal with racism from a very young age, but it's something I've grown to accept as part of life. I'm constantly aware of the way people look at me or treat me differently because of my race. I've had people say hurtful things and make assumptions about me because of my race, but I try to stay positive and remember that it's not personal - it's just a reflection of their own ignorance and insecurity. I've also had to learn to stand up for myself and educate others on the importance of respect and understanding for people of all backgrounds.""",Asian
